Şəhər,Model,Yeni,Mühərrik,Yürüş,Ötürücü,price,Sürətlər qutusu,Rəng,Qəzalı,url,Sahiblər,Marka,Vəziyyəti,Hansı bazar üçün yığılıb,Buraxılış ili,Yerlərin sayı,Ban növü
Bakı,L6,Bəli,787 a.g. / Elektro,0 km,Tam,≈ 82 790 AZN,Avtomat (Reduktor),Mavi,,https://turbo.az/autos/9031269-im-l6,,IM,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2025,5,Liftbek
Bakı,Land Cruiser Prado,Bəli,2.8 L / 204 a.g. / Dizel,0 km,Tam,≈ 144 160 AZN,Avtomat (AT),Qızılı,,https://turbo.az/autos/8599063-toyota-land-cruiser-prado,,Toyota,"Vuruğu yoxdur, rənglənməyib",Avropa,2024,7,"Offroader / SUV, 5 qapı"
Bakı,E 220,Xeyr,2.2 L / 150 a.g. / Dizel,315 000 km,Arxa,17 800 AZN,Avtomat (AT),Gümüşü,,https://turbo.az/autos/9655358-mercedes-e-220,,Mercedes,"Vuruğu yoxdur, rənglənməyib",Avropa,2007,5,Sedan
Bakı,Crosstrek,Bəli,2.0 L / 156 a.g. / Benzin,0 km,Tam,≈ 50 830 AZN,Avtomat (Variator),Yaş Asfalt,,https://turbo.az/autos/9272806-subaru-crosstrek,,Subaru,"Vuruğu yoxdur, rənglənməyib",Avropa,2024,,"Offroader / SUV, 5 qapı"
Göyçay,Sorento,Xeyr,2.0 L / 186 a.g. / Dizel,148 000 km,Ön,37 500 AZN,Avtomat (AT),Yaş Asfalt,,https://turbo.az/autos/9723770-kia-sorento,0,Kia,"Vuruğu yoxdur, rənglənməyib",Koreya,2016,5,"Offroader / SUV, 5 qapı"
Bakı,K5,Xeyr,2.0 L / 151 a.g. / Qaz,102 000 km,Ön,26 000 AZN,Avtomat (AT),Gümüşü,,https://turbo.az/autos/9671256-kia-k5,,Kia,"Vuruğu yoxdur, rənglənməyib",Koreya,2016,5,Sedan
Bakı,C 230,Xeyr,2.3 L / 150 a.g. / Benzin,230 000 km,Arxa,12 800 AZN,Avtomat (AT),Göy,,https://turbo.az/autos/9725526-mercedes-c-230,0,Mercedes,"Vuruğu yoxdur, rənglənməyib",Amerika,1998,5,Sedan
Bakı,Santa Fe,Xeyr,2.0 L / 184 a.g. / Dizel,220 000 km,Ön,19 000 AZN,Avtomat (AT),Gümüşü,,https://turbo.az/autos/9732399-hyundai-santa-fe,,Hyundai,"Vuruğu yoxdur, rənglənməyib",Koreya,2009,7,"Offroader / SUV, 5 qapı"
Bakı,C 230,Xeyr,2.3 L / 193 a.g. / Benzin,333 000 km,Arxa,8 500 AZN,Avtomat (AT),Gümüşü,,https://turbo.az/autos/9731211-mercedes-c-230,,Mercedes,"Vuruğu yoxdur, rənglənib",Digər,2000,5,Sedan
Bakı,AMG EQE 53 4MATIC,Xeyr,687 a.g. / Elektro,11 000 km,Tam,210 000 AZN,Avtomat (Reduktor),Qara,,https://turbo.az/autos/9728105-mercedes-amg-eqe-53-4matic,0,Mercedes,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2023,5,"Offroader / SUV, 5 qapı"
Bakı,Sorento,Xeyr,2.0 L / 186 a.g. / Dizel,119 200 km,Ön,38 300 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9689059-kia-sorento,0,Kia,"Vuruğu yoxdur, rənglənməyib",Koreya,2016,5,"Offroader / SUV, 5 qapı"
Bakı,Axor 1840,Xeyr,12 L / 440 a.g. / Dizel,440 000 km,Tam,32 000 AZN,Mexaniki (MT),Ağ,,https://turbo.az/autos/9377238-mercedes-axor-1840,0,Mercedes,"Vuruğu yoxdur, rənglənməyib",Avropa,2005,,Yük maşını
Bakı,i5,Xeyr,355 a.g. / Elektro,13 000 km,Tam,≈ 113 050 AZN,Avtomat (Reduktor),Göy,,https://turbo.az/autos/9236641-bmw-i5,,BMW,"Vuruğu yoxdur, rənglənməyib",Avropa,2023,5,Sedan
Bakı,Sonata,Xeyr,2.0 L / 195 a.g. / Hibrid,57 936 km,Ön,33 900 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9675222-hyundai-sonata,0,Hyundai,"Vuruğu yoxdur, rənglənib",Amerika,2021,5,Sedan
Bakı,Camry,Xeyr,2.5 L / 206 a.g. / Benzin,150 000 km,Ön,40 800 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9729481-toyota-camry,,Toyota,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2019,5,Sedan
